season,conf,w,l,wl,w_conf,l_conf,wl_conf,srs,sos,pts,pts_vs,ap_pre,ap_high,ap_final,ncaa_tournament,seed,coaches,seeded,year,is_ap_pre,is_ap_high,is_ap_final,pts_diff,school,pts_total
2002-03,Patriot,5,22,0.185,0,14,0,-19.72,-5.92,54.9,65.5,30,30,30,0,20,Jim Crews,FALSE,2003,FALSE,FALSE,FALSE,-10.6,army,120.4
2001-02,Patriot,12,16,0.429,6,8,0.429,-13.02,-7.44,66.8,70.1,30,30,30,0,20,Pat Harris,FALSE,2002,FALSE,FALSE,FALSE,-3.3,army,136.9
2000-01,Patriot,9,19,0.321,3,9,0.25,-15.73,-7.65,72,78.6,30,30,30,0,20,Pat Harris,FALSE,2001,FALSE,FALSE,FALSE,-6.6,army,150.6
2015-16,SEC,11,20,0.355,5,13,0.278,0.15,7.54,70.7,78.1,30,30,30,0,20,Bruce Pearl,FALSE,2016,FALSE,FALSE,FALSE,-7.4,auburn,148.8
2014-15,SEC,15,20,0.429,4,14,0.222,3.27,8.15,67.9,72.1,30,30,30,0,20,Bruce Pearl,FALSE,2015,FALSE,FALSE,FALSE,-4.2,auburn,140
2013-14,SEC,14,16,0.467,6,12,0.333,5.11,5.47,71.5,71.8,30,30,30,0,20,Tony Barbee,FALSE,2014,FALSE,FALSE,FALSE,-0.3,auburn,143.3
2012-13,SEC,9,23,0.281,3,15,0.167,0.21,4.18,64.8,68.8,30,30,30,0,20,Tony Barbee,FALSE,2013,FALSE,FALSE,FALSE,-4,auburn,133.6
2011-12,SEC,15,16,0.484,5,11,0.313,2.52,3.84,62.6,64,30,30,30,0,20,Tony Barbee,FALSE,2012,FALSE,FALSE,FALSE,-1.4,auburn,126.6
2010-11,SEC,11,20,0.355,4,12,0.25,-2.47,2.4,62.4,66.2,30,30,30,0,20,Tony Barbee,FALSE,2011,FALSE,FALSE,FALSE,-3.8,auburn,128.6
2009-10,SEC,15,17,0.469,6,10,0.375,5.49,4.68,75.7,74.2,30,30,30,0,20,Jeff Lebo,FALSE,2010,FALSE,FALSE,FALSE,1.5,auburn,149.9
2008-09,SEC,24,12,0.667,10,6,0.625,9.93,3.56,72.8,65.4,30,30,30,0,20,Jeff Lebo,FALSE,2009,FALSE,FALSE,FALSE,7.4,auburn,138.2
2007-08,SEC,14,16,0.467,4,12,0.25,2.31,4.7,71.4,72.8,30,30,30,0,20,Jeff Lebo,FALSE,2008,FALSE,FALSE,FALSE,-1.4,auburn,144.2
2006-07,SEC,17,15,0.531,7,9,0.438,6.77,7.47,73.1,72.1,30,30,30,0,20,Jeff Lebo,FALSE,2007,FALSE,FALSE,FALSE,1,auburn,145.2
2005-06,SEC,12,16,0.429,4,12,0.25,4.92,7.06,65.6,67.7,30,30,30,0,20,Jeff Lebo,FALSE,2006,FALSE,FALSE,FALSE,-2.1,auburn,133.3
2004-05,SEC,14,17,0.452,4,12,0.25,2.06,6.6,70.7,75.2,30,30,30,0,20,Jeff Lebo,FALSE,2005,FALSE,FALSE,FALSE,-4.5,auburn,145.9
2003-04,SEC,14,14,0.5,5,11,0.313,10.32,5.89,70,65.6,30,30,30,0,20,Cliff Ellis,FALSE,2004,FALSE,FALSE,FALSE,4.4,auburn,135.6
2002-03,SEC,22,12,0.647,8,8,0.5,12.68,8.34,70.8,65.7,30,24,30,4,10,Cliff Ellis,TRUE,2003,FALSE,TRUE,FALSE,5.1,auburn,136.5
2001-02,SEC,12,16,0.429,4,12,0.25,6.89,7.96,65.5,66.6,30,30,30,0,20,Cliff Ellis,FALSE,2002,FALSE,FALSE,FALSE,-1.1,auburn,132.1
2000-01,SEC,18,14,0.563,7,9,0.438,11.48,7.14,77.4,73.1,30,30,30,0,20,Cliff Ellis,FALSE,2001,FALSE,FALSE,FALSE,4.3,auburn,150.5
2015-16,OVC,18,18,0.5,7,9,0.438,-6.04,-2.98,76.1,76.8,30,30,30,1,16,Dave Loos,TRUE,2016,FALSE,FALSE,FALSE,-0.7,austin-peay,152.9
2014-15,OVC,8,22,0.267,3,13,0.188,-12.45,-2.81,64.6,72.6,30,30,30,0,20,Dave Loos,FALSE,2015,FALSE,FALSE,FALSE,-8,austin-peay,137.2
2013-14,OVC,12,18,0.4,6,10,0.375,-10.5,-5.78,76.2,78.9,30,30,30,0,20,Dave Loos,FALSE,2014,FALSE,FALSE,FALSE,-2.7,austin-peay,155.1
2012-13,OVC,8,23,0.258,4,12,0.25,-12.35,-4.31,71.5,76.5,30,30,30,0,20,Dave Loos,FALSE,2013,FALSE,FALSE,FALSE,-5,austin-peay,148
2011-12,OVC,12,20,0.375,8,8,0.5,-4.86,-0.66,69.3,72.6,30,30,30,0,20,Dave Loos,FALSE,2012,FALSE,FALSE,FALSE,-3.3,austin-peay,141.9
2010-11,OVC,20,14,0.588,13,5,0.722,-0.15,-3.77,73.8,67,30,30,30,0,20,Dave Loos,FALSE,2011,FALSE,FALSE,FALSE,6.8,austin-peay,140.8
2009-10,OVC,17,15,0.531,11,7,0.611,-3.85,-1.68,72.5,72.4,30,30,30,0,20,Dave Loos,FALSE,2010,FALSE,FALSE,FALSE,0.1,austin-peay,144.9
2008-09,OVC,19,14,0.576,13,5,0.722,-4.2,-3.69,75.3,74.2,30,30,30,0,20,Dave Loos,FALSE,2009,FALSE,FALSE,FALSE,1.1,austin-peay,149.5
2007-08,OVC,24,11,0.686,16,4,0.8,-2.21,-5.24,74,70.8,30,30,30,1,15,Dave Loos,TRUE,2008,FALSE,FALSE,FALSE,3.2,austin-peay,144.8
2006-07,OVC,21,12,0.636,16,4,0.8,-3.45,-5.09,70,67,30,30,30,0,20,Dave Loos,FALSE,2007,FALSE,FALSE,FALSE,3,austin-peay,137
